student_id,course_id,instructor_id,evaluation_text,sentiment_label,satisfaction_score,engagement_score,timestamp,platform_access_count,assignment_score,final_grade
S0001,CSE101,I1002,I appreciated the extra help sessions.,Positive,5,1,2024-08-09 07:24:27,29,96,74
S0002,CSE103,I1002,I appreciated the extra help sessions.,Positive,8,8,2023-08-12 04:41:14,41,73,52
S0003,CSE103,I1003,Interactive sessions made learning enjoyable.,Positive,4,6,2025-03-12 01:08:37,6,95,72
S0004,CSE103,I1003,The course material was outdated.,Negative,2,6,2024-06-15 12:43:06,38,69,90
S0005,CSE103,I1002,Interactive sessions made learning enjoyable.,Positive,5,5,2024-04-27 03:35:48,47,77,87
S0006,CSE101,I1002,Course was too fast-paced.,Neutral,4,4,2024-05-03 03:41:43,35,87,65
S0007,CSE101,I1002,Instructor was responsive and helpful.,Positive,8,1,2025-03-03 18:12:03,14,61,87
S0008,CSE103,I1002,Instructor was responsive and helpful.,Positive,6,7,2024-07-19 07:32:25,24,52,84
S0009,CSE101,I1002,Content was difficult to follow sometimes.,Neutral,8,4,2024-12-09 12:11:00,39,67,69
S0010,CSE102,I1002,Instructor was responsive and helpful.,Positive,1,6,2023-08-28 03:54:06,48,68,60
S0011,CSE102,I1002,Content was difficult to follow sometimes.,Neutral,5,6,2024-06-09 17:31:13,42,73,85
S0012,CSE101,I1002,Interactive sessions made learning enjoyable.,Positive,3,10,2025-01-26 00:20:51,39,65,57
S0013,CSE102,I1002,Course was too fast-paced.,Neutral,4,8,2025-04-15 03:53:05,32,90,83
S0014,CSE101,I1002,Interactive sessions made learning enjoyable.,Positive,9,7,2024-02-04 20:39:48,42,88,84
S0015,CSE102,I1003,Course was too fast-paced.,Neutral,8,5,2024-10-10 02:11:05,11,85,89
S0016,CSE103,I1001,The lectures were engaging and well-explained.,Positive,8,9,2023-08-05 10:14:56,28,69,58
S0017,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,6,7,2024-05-05 04:34:44,45,79,71
S0018,CSE103,I1002,Interactive sessions made learning enjoyable.,Positive,6,7,2024-06-20 05:33:27,13,79,87
S0019,CSE102,I1003,Lacked practical examples.,Negative,9,8,2024-01-07 17:50:26,8,73,79
S0020,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,6,5,2025-03-05 05:30:56,19,90,88
S0021,CSE101,I1001,The lectures were engaging and well-explained.,Positive,5,2,2025-01-15 02:28:08,19,56,99
S0022,CSE101,I1003,Interactive sessions made learning enjoyable.,Positive,10,5,2025-01-26 04:25:28,22,96,57
S0023,CSE102,I1003,"Too many assignments, not enough guidance.",Negative,1,8,2024-01-20 10:33:22,15,84,60
S0024,CSE103,I1002,"Too many assignments, not enough guidance.",Negative,10,9,2025-03-30 22:33:13,44,62,91
S0025,CSE103,I1001,Instructor was responsive and helpful.,Positive,1,5,2024-08-06 00:38:25,21,99,82
S0026,CSE101,I1002,The course material was outdated.,Negative,3,3,2024-12-10 23:14:31,32,95,94
S0027,CSE102,I1002,The course material was outdated.,Negative,5,3,2024-02-29 07:02:17,19,96,86
S0028,CSE101,I1001,Lacked practical examples.,Negative,2,1,2023-09-02 19:43:31,35,61,71
S0029,CSE102,I1002,The course material was outdated.,Negative,9,3,2024-11-25 20:16:48,9,56,57
S0030,CSE102,I1003,Content was difficult to follow sometimes.,Neutral,10,7,2025-02-02 05:16:56,44,94,54
S0031,CSE103,I1003,Instructor was responsive and helpful.,Positive,7,10,2025-05-09 21:13:27,9,86,97
S0032,CSE102,I1002,Content was difficult to follow sometimes.,Neutral,9,10,2024-04-16 11:45:02,46,52,74
S0033,CSE102,I1003,Course was too fast-paced.,Neutral,10,10,2025-06-27 02:12:21,5,54,97
S0034,CSE102,I1003,Content was difficult to follow sometimes.,Neutral,5,8,2024-05-22 21:14:02,5,95,75
S0035,CSE101,I1002,Great use of resources and timely feedback.,Positive,4,6,2023-11-29 19:48:32,25,57,83
S0036,CSE103,I1001,Interactive sessions made learning enjoyable.,Positive,5,7,2025-05-27 15:18:21,16,75,84
S0037,CSE101,I1001,The lectures were engaging and well-explained.,Positive,1,4,2024-05-11 12:38:46,30,74,57
